repo_url,registry_source,category,language,stars,last_commit_date
https://github.com/IvanPedroza/Runloop-MCP,mcp-first-glance,mined,TypeScript,0,
https://github.com/IzumiSy/mcp-duckdb-memory-server,mcp-first-glance,mined,TypeScript,5,
https://github.com/Jacck/mcp-reasoner,mcp-first-glance,mined,TypeScript,120,
https://github.com/JacquesGariepy/game-assistant-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/Jainish-S/text-to-sql,mcp-first-glance,mined,Python,0,
https://github.com/Jake-Mok-Nelson/mcp-find-similar-github-issues,mcp-first-glance,mined,TypeScript,0,
https://github.com/JayArrowz/mcp-xpath,mcp-first-glance,mined,JavaScript,0,
https://github.com/Jeamee/MCPHub-Desktop,mcp-first-glance,community,TypeScript,103,
https://github.com/JetBrains/mcp-jetbrains,mcp-first-glance,official,JavaScript,242,
https://github.com/JettChenT/wechat-mcp,mcp-first-glance,mined,Python,1,
https://github.com/JexinSam/mssql_mcp_server,mcp-first-glance,community,Python,12,
https://github.com/JigsawStack/jigsawstack-mcp-server,mcp-first-glance,mined,TypeScript,17,
https://github.com/Jimmyh-world/Cardano_MCP,mcp-first-glance,mined,TypeScript,0,
https://github.com/Jktfe/myAImemory-mcp,mcp-first-glance,mined,HTML,1,
https://github.com/Jktfe/serveMyAPI,mcp-first-glance,mined,TypeScript,2,
https://github.com/JoeBuildsStuff/mcp-server-client,mcp-first-glance,mined,TypeScript,1,
https://github.com/JohnPeng47/pentest-mcp,mcp-first-glance,mined,Python,0,
https://github.com/JordiNeil/mcp-databricks-server,mcp-first-glance,community,Python,16,
https://github.com/JoshJarabek7/anchoring,mcp-first-glance,mined,TypeScript,1,
https://github.com/JoshMayerr/mcp-x,mcp-first-glance,mined,Python,3,
https://github.com/JoshuaRileyDev/mac-apps-launcher,mcp-first-glance,mined,JavaScript,4,
https://github.com/JoshuaRileyDev/mcp-api,mcp-first-glance,mined,HTML,3,
https://github.com/JoshuaRileyDev/supabase-mcp-server,mcp-first-glance,mined,JavaScript,27,
https://github.com/Joshuatanderson/factbook-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/Just-Understanding-Data-Ltd/ai-coding-with-cursor,mcp-first-glance,mined,TypeScript,29,
https://github.com/JustTryAI/databricks-mcp-server,mcp-first-glance,mined,Python,0,
https://github.com/JustTryAI/databricks-permissions-mcp-server,mcp-first-glance,mined,Python,0,
https://github.com/KS-GEN-AI/jira-mcp-server,mcp-first-glance,mined,JavaScript,8,
https://github.com/Kaiser9005/ERP,mcp-first-glance,mined,Python,1,
https://github.com/KalyanbrataMaity/mcp-servers,mcp-first-glance,mined,Python,0,
https://github.com/Kartha-AI/agentcare-mcp,mcp-first-glance,mined,JavaScript,13,
https://github.com/KasarLabs/snak-mcps,mcp-first-glance,mined,TypeScript,0,
https://github.com/KelvinQiu802/cursor-mcp-demo,mcp-first-glance,mined,Python,40,
https://github.com/KeplerOps/insight,mcp-first-glance,mined,Python,0,
https://github.com/KhryptorGraphics/google-calendar-mcp,mcp-first-glance,mined,TypeScript,0,
https://github.com/Kira-Pgr/PromptShopMCP,mcp-first-glance,mined,Python,5,
https://github.com/Kong/mcp-konnect,mcp-first-glance,community,TypeScript,22,
https://github.com/Krekun/vrchat-mcp-osc,mcp-first-glance,mined,TypeScript,3,
https://github.com/KunihiroS/claude-code-mcp,mcp-first-glance,mined,JavaScript,6,
https://github.com/Kuon-dev/advanced-reason-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/Kush36Agrawal/Video_Editor_MCP,mcp-first-glance,mined,Python,12,
https://github.com/KyrieTangSheng/mcp-server-nationalparks,mcp-first-glance,community,TypeScript,8,
https://github.com/L-Chris/douban-mcp,mcp-first-glance,mined,TypeScript,0,
https://github.com/Laksh-star/mcp-server-tmdb,mcp-first-glance,community,JavaScript,24,
https://github.com/Leanware-io/clickup-mcp-server,mcp-first-glance,mined,TypeScript,0,
https://github.com/LeonMelamud/mysql-mcp,mcp-first-glance,mined,JavaScript,4,
https://github.com/LeslieLeung/mcp-server-memos,mcp-first-glance,mined,Python,1,
https://github.com/Lev-Stambler/levs-commands,mcp-first-glance,mined,Typst,0,
https://github.com/LinkupPlatform/python-mcp-server,mcp-first-glance,mined,Python,10,
https://github.com/Lipdog/excel-master-mcp,mcp-first-glance,mined,Python,5,
https://github.com/LoggerApp/Nutrient_db_MCP,mcp-first-glance,mined,Python,0,
https://github.com/LoloaBe/notes,mcp-first-glance,mined,Python,0,
https://github.com/LoloaBe/weather,mcp-first-glance,mined,Python,0,
https://github.com/LostInBrittany/clever-doc-mcp-server,mcp-first-glance,mined,TypeScript,0,
